Afrikaans	Oostenryk	Proper noun	# [[Austria]]
Afrikaans	Oubaas	Noun	# [[master|Master]]
Afrikaans	Piet	Proper noun	# {{given name|male|lang=af|nodot=1}}: ''short form of'' '''{{l|af|Pieter}}'''.
Afrikaans	Pieter	Proper noun	# {{given name|male|lang=af}} equivalent to English [[Peter]].
Afrikaans	Portugal	Proper noun	# [[#English|Portugal]]
Afrikaans	Pretoria	Proper noun	# {{l/en|Pretoria}}
Afrikaans	Renier	Proper noun	# {{given name|male|lang=af}}.
Afrikaans	Robbeneiland	Proper noun	# {{w|Robben Island}}
Afrikaans	Rudi	Proper noun	# {{given name|male|lang=af}}, diminutive of [[Rudolf]].
Afrikaans	Rusland	Proper noun	# [[Russia]]
Afrikaans	Rwanda	Proper noun	# {{l|en|Rwanda}}
Afrikaans	Saterdag	Noun	# [[Saturday]]
Afrikaans	Senegal	Proper noun	# {{l|en|Senegal}}
Afrikaans	September	Noun	# [[#English|September]]
Afrikaans	Septembermaande	Noun	# {{plural of|September|lang=af}}
Afrikaans	Sint	Noun	# [[Saint]]
Afrikaans	Skotland	Proper noun	# {{l/en|Scotland}}
Afrikaans	Sondag	Noun	# [[Sunday]]
Afrikaans	Soweto	Proper noun	# {{l/en|Soweto}}
Afrikaans	Spanje	Proper noun	# [[Spain]]
Afrikaans	Suid-Afrika	Proper noun	# [[South Africa]]
Afrikaans	Suid-Afrikaner	Noun	# {{l/en|South African}}
Afrikaans	Suid-Afrikaners	Noun	# {{plural of|Suid-Afrikaner|lang=af}}
Afrikaans	Swede	Proper noun	# [[Sweden]]
Afrikaans	Switserland	Proper noun	# [[Switzerland]]
Afrikaans	T-hemde	Noun	# {{plural of|lang=af|hemp}}
Afrikaans	T-hemp	Noun	# [[T-shirt]]
Afrikaans	T-hempie	Noun	# {{diminutive of|lang=af|T-hemp}}
Afrikaans	T-hempies	Noun	# {{plural of|lang=af|T-hempie}}
Afrikaans	Tafelberg	Proper noun	# {{w|Table Mountain}}
Afrikaans	Totty	Noun	# {{context|slang|lang=af|archaic}} a [[Hottentot]]
Afrikaans	Tsjad	Proper noun	# {{l|en|Chad}}
Afrikaans	Tsjeggies	Proper noun	# the [[Czech]] language
Afrikaans	Tsjeggië	Proper noun	# [[Czech Republic]] 
Afrikaans	Turkye	Proper noun	# [[Turkey]]
Afrikaans	VSA	Initalism	# [[Verenigde State van Amerika]]: {{l/en|USA}}
Afrikaans	Van Graan	Proper noun	# {{surname|lang=af|dot=}} of {{etyl|nl|af}} origin.
Afrikaans	Verenigde Koninkryk	Proper noun	# [[United Kingdom]]
Afrikaans	Verenigde Koninkryk van Groot-Brittanje en Noord-Ierland	Proper noun	# [[United Kingdom of Great Britain and Northern Ireland]]
Afrikaans	Verenigde State van Amerika	Proper noun	# [[United States of America]]
Afrikaans	Vrydag	Noun	# [[Friday]]
Afrikaans	Willem	Proper noun	# {{given name|male|lang=af}}, cognate to [[William]].
Afrikaans	Woensdag	Noun	# [[Wednesday]]
Afrikaans	Zoeloe	Noun	# [[Zulu]]
Afrikaans	Zoeloe	Proper noun	# [[Zulu]] language
Afrikaans	aalmoes	Noun	# [[alms]], [[charity]]
Afrikaans	aalmoese	Noun	# {{plural of|lang=af|aalmoes}}
Afrikaans	aalmoesenier	Noun	# {{context|archaic|lang=af}} [[almoner]]
Afrikaans	aalmoeseniere	Noun	# {{plural of|lang=af|aalmoesenier}}
Afrikaans	aalmoeseniers	Noun	# {{plural of|lang=af|aalmoesenier}}
Afrikaans	aalmoeseniertjie	Noun	# {{diminutive of|lang=af|aalmoesenier}}
Afrikaans	aalmoeseniertjies	Noun	# {{plural of|lang=af|aalmoeseniertjie}}
Afrikaans	aalmoesie	Noun	# {{diminutive of|lang=af|aalmoes}}
Afrikaans	aalmoesies	Noun	# {{plural of|lang=af|aalmoesie}}
Afrikaans	aalwee	Noun	# {{alternative form of|aalwyn|lang=af}}
Afrikaans	aalwees	Noun	# {{plural of|aalwee|lang=af}}
Afrikaans	aalwyn	Noun	# [[aloe]]
Afrikaans	aalwyne	Noun	# {{plural of|aalwyn|lang=af}}
Afrikaans	aalwyntjie	Noun	# {{diminutive of|lang=af|aalwyn}}
Afrikaans	aalwyntjies	Noun	# {{plural of|lang=af|aalwyntjie}}
Afrikaans	aambeeld	Noun	# [[anvil]]
Afrikaans	aambeeld	Noun	# {{context|anatomy|lang=af}} [[incus]]
Afrikaans	aambeelde	Noun	# {{plural of|aambeeld|lang=af}}
Afrikaans	aambeeldjie	Noun	# {{diminutive of|lang=af|aambeeld}}
Afrikaans	aambeeldjies	Noun	# {{plural of|lang=af|aambeeldjie}}
Afrikaans	aambei	Noun	#[[piles]], [[haemorrhoids]], [[hemorrhoids]]
Afrikaans	aan	Adverb	# [[on]]
Afrikaans	aan	Preposition	# [[at]]; [[on]]
Afrikaans	aan	Preposition	# [[to]]
Afrikaans	aanbestee	Verb	# {{context|rare|lang=af}} put out to [[contract]]
Afrikaans	aanbestee	Verb	# {{context|rare|lang=af}} [[invite]] [[tender]]s
Afrikaans	aanbetref	Verb	# [[concern]]
Afrikaans	aanbieder	Noun	# {{context|radio|television|lang=af}} [[presenter]]
Afrikaans	aanbieder	Noun	# {{context|legal|lang=af}} [[offerer]], [[offeror]], [[dispenser]]
Afrikaans	aanbieder	Noun	# [[provider]]
Afrikaans	aanbieding	Noun	# an [[offer]], [[proposition]]
Afrikaans	aanbieding	Noun	# [[presentation]], [[presentment]]
Afrikaans	aanbieding	Noun	# {{alternative form of|aanbod|lang=af}}
Afrikaans	aanbod	Noun	# an [[offer]], [[proposition]]
Afrikaans	aanbod	Noun	# [[presentation]], [[presentment]]
Afrikaans	aanbod	Noun	# {{alternative form of|aanbieding|lang=af}}
Afrikaans	aanbod	Noun	# {{context|economics|lang=af}} supply
Afrikaans	aand	Noun	# [[evening]]
Afrikaans	aande	Noun	# {{plural of|aand|lang=af}}
Afrikaans	aandete	Noun	# [[supper]], [[dinner]]
Afrikaans	aandetes	Noun	# {{plural of|aandete|lang=af}}
Afrikaans	aandjie	Noun	# {{diminutive of|aand|lang=af}}
Afrikaans	aandjies	Noun	# {{plural of|aandjie|lang=af}}
Afrikaans	aangekom	Verb	# {{past participle of|aankom|lang=af}}
Afrikaans	aangename kennis	Phrase	# [[pleased to meet you]]
Afrikaans	aangesteek	Verb	# {{past participle of|aansteek|lang=af}}
Afrikaans	aangevaar	Verb	# {{past participle of|lang=af|aanvaar}}
Afrikaans	aankom	Verb	# [[arrive]]
Afrikaans	aansteek	Verb	# to pin on
Afrikaans	aansteek	Verb	# to start a [[fire]]
Afrikaans	aansteek	Verb	# {{context|transitive|lang=af}} to [[infect]] (someone)
Afrikaans	aanvaar	Verb	# to [[accept]]
Afrikaans	aanvaar	Verb	# to [[sail]] along
Afrikaans	aanvaardende	Verb	# {{present participle of|lang=af|aanvaar}}
Afrikaans	aanvaller	Noun	# [[attacker]]
Afrikaans	aanvarende	Verb	# {{present participle of|lang=af|aanvaar}}
Afrikaans	aap	Noun	# [[monkey]], [[ape]]
Afrikaans	aarde	Noun	# [[Earth]] (planet)
Afrikaans	aarde	Noun	# {{context|uncountable|lang=af}} [[earth]], [[ground]], [[soil]]
Afrikaans	aardvark	Noun	# {{obsolete form of|erdvark|lang=af}}
Afrikaans	aardwolf	Noun	# An [[#English|aardwolf]]
Afrikaans	aardwolwe	Noun	# {{plural of|aardwolf|lang=af}}
Afrikaans	aartappel	Noun	# [[potato]]
Afrikaans	aartsengel	Noun	# [[archangel]]
Afrikaans	aasvoël	Noun	# bird feeding on [[carrion]], [[vulture]]
Afrikaans	aasvoël	Noun	# {{context|figuratively|lang=af}} [[vulture]], a person who profits from the suffering of others
Afrikaans	advies	Noun	# {{l/en|advice}}
Afrikaans	afgaan	Verb	# to [[go down]]; [[descend]]
Afrikaans	afskaf	Verb	# to [[abolish]]
Afrikaans	afsonderlik	Adjective	# [[separate]]
Afrikaans	aftree	Verb	# [[retire]] (go on pension)
Afrikaans	afvaar	Verb	# to [[sail]] out
Afrikaans	ag	Noun	# [[esteem]]
Afrikaans	ag	Verb	# [[heed]]
Afrikaans	ag	Interjection	# oh, oh no, shoot, damn, oh dear
Afrikaans	agitasie	Noun	# {{l/en|agitation}}
Afrikaans	agitasies	Noun	# {{plural of|agitasie|lang=af}}
Afrikaans	agt	Numeral	# [[eight]]
Afrikaans	agter	Preposition	# [[behind]]
Afrikaans	agterkleindogter	Noun	# [[great-granddaughter]]
Afrikaans	agttien	Numeral	# [[eighteen]]
Afrikaans	aktinium	Noun	# [[actinium]]
Afrikaans	al	Adverb	# [[already]]
Afrikaans	al	Adjective	# [[all]]; [[every]]
Afrikaans	alle	Adjective	# {{form of|Attributive form|al|lang=af}}
Afrikaans	altyd	Adverb	# {{l/en|always}}
